iter	RMSE
0	0.9162355848
1	0.8537865666
2	0.7994591536
3	0.7520771194
4	0.7105444332
5	0.6735105389
6	0.6410486686
7	0.6116439331
8	0.5862526423
9	0.5634273533
10	0.5456474049
11	0.5285619961
12	0.5138924589
13	0.4993757535
14	0.489540091
15	0.4792301488
16	0.4700352741
17	0.4608876035
18	0.4516476857
19	0.4432676622
20	0.4357570222
21	0.429278786
22	0.4231954544
23	0.4172770604
24	0.4124694168
25	0.4083683999
26	0.4040557501
27	0.4005729251
28	0.397725892
29	0.3933843149
30	0.3887154039
31	0.3858328134
32	0.3832139345
33	0.3799013375
34	0.3775068254
35	0.3749733362
36	0.3725185712
37	0.3705642056
38	0.3676249964
39	0.3656287823
40	0.3638123828
41	0.3619277234
42	0.360557079
43	0.3569580292
44	0.3541616216
45	0.3518820066
46	0.3506360994
47	0.3485746837
48	0.3465888964
49	0.3449277965
50	0.3435138494
51	0.3414688468
52	0.3406701548
53	0.3396906596
54	0.338265777
55	0.335670799
56	0.3337454838
57	0.3327618758
58	0.3313873264
59	0.3301267851
60	0.3288821549
61	0.3280080536
62	0.3270063557
63	0.3262983441
64	0.3248378824
65	0.3236402221
66	0.3226904414
67	0.3215223924
68	0.3202302173
69	0.3194182971
70	0.3175661254
71	0.316096158
72	0.3152196641
73	0.3142223889
74	0.3131957415
75	0.3122021073
76	0.3112004976
77	0.3104310017
78	0.3098048185
79	0.3089572362
80	0.3081144361
81	0.3074423177
82	0.306151571
83	0.3053949343
84	0.305031357
85	0.3009638335
86	0.3001878042
87	0.2994188837
88	0.2971295001
89	0.2961911167
90	0.295328726
91	0.2939897814
92	0.2932861781
93	0.2925853173
94	0.2918928293
95	0.2909800869
96	0.289600142
97	0.2888685508
98	0.2881581692
99	0.2871496272
100	0.285968322
101	0.2854765841
102	0.2846350508
103	0.2840187862
104	0.2834556721
105	0.2828189871
106	0.2821717468
107	0.2812718949
108	0.2807972392
109	0.2802396236
110	0.2797895248
111	0.2779625265
112	0.2775550121
113	0.2765484426
114	0.2758770717
115	0.2754969929
116	0.2744637737
117	0.2738786784
118	0.2733886032
119	0.2722599745
120	0.2719770472
121	0.27153069
122	0.2703336189
123	0.2688052078
124	0.2682592072
125	0.2677056001
126	0.2673679728
127	0.2667354652
128	0.2662066507
129	0.2657198496
130	0.264631461
131	0.2642862431
132	0.2639895968
133	0.2632122524
134	0.2621395999
135	0.2617129821
136	0.2611312198
137	0.259737826
138	0.2592368704
139	0.2588428114
140	0.2584301777
141	0.2581319169
142	0.257933178
143	0.2575489356
144	0.2565867706
145	0.2563610027
146	0.2556925484
147	0.2553676001
148	0.2544480158
149	0.2539115535
150	0.2536850248
151	0.2532946497
152	0.2529526708
153	0.2524778742
154	0.2521275108
155	0.2512244242
156	0.2501807429
157	0.2496454806
158	0.2493105864
159	0.2490526318
160	0.2481978924
161	0.2478811945
162	0.247572216
163	0.2471677815
164	0.2465790841
165	0.2462287278
166	0.2458125747
167	0.2454540808
168	0.2451375035
169	0.2447401227
170	0.2445065917
171	0.2436882851
172	0.2432190996
173	0.2425531111
174	0.2415429696
175	0.2412023671
176	0.241043589
177	0.2404089735
178	0.240052315
179	0.2397555203
180	0.2395498602
181	0.2391168534
182	0.2383071018
183	0.2375476987
184	0.2372634129
185	0.237032277
186	0.2368249023
187	0.2360993814
188	0.2356259859
189	0.2353363929
190	0.2346465574
191	0.2341160004
192	0.233932045
193	0.2336420673
194	0.2333538754
195	0.2330470094
196	0.2323846635
197	0.2321466207
198	0.2318634091
199	0.2316776571
200	0.2310457712
201	0.2305905767
202	0.2304839563
203	0.2290036607
204	0.2286675791
205	0.2282494798
206	0.2280539687
207	0.2277704244
208	0.2272525759
209	0.2264532222
210	0.2261824688
211	0.2257662353
212	0.2256032188
213	0.2253517583
214	0.2251572299
215	0.2249254004
216	0.2245570991
217	0.2242630898
218	0.22391308
219	0.2235950161
220	0.2228688767
221	0.2227468459
222	0.2224745527
223	0.2223097553
224	0.2221324093
225	0.2216496269
226	0.2212938737
227	0.2207783946
228	0.2205374202
229	0.2203374672
230	0.2201002526
231	0.219702617
232	0.2194325892
233	0.2191809648
234	0.218783911
235	0.2181787609
236	0.2176583065
237	0.2175630052
238	0.2174400208
239	0.2172005271
240	0.2170704185
241	0.2169130661
242	0.2165362303
243	0.2163432632
244	0.2160185378
245	0.215905898
246	0.2152609769
247	0.2149653013
248	0.2141462553
249	0.2139207018
250	0.2134446697
251	0.2132291481
252	0.2130279017
253	0.2128398027
254	0.2126911738
255	0.2125381274
256	0.2123651949
257	0.2122639003
258	0.2121458147
259	0.2114110371
260	0.211090515
261	0.2108701839
262	0.2104299032
263	0.2101636661
264	0.2099210528
265	0.2096926552
266	0.2093914383
267	0.2089493762
268	0.2087477936
269	0.2085147623
270	0.2083620657
271	0.2078489463
272	0.207743119
273	0.2076005903
274	0.2073275723
275	0.2071907653
276	0.2068544931
277	0.2066759195
278	0.2065708091
279	0.2062489349
280	0.2059163366
281	0.2044280755
282	0.204226609
283	0.2040987571
284	0.2038261976
285	0.2036340289
286	0.2035196284
287	0.2033831456
288	0.2029674104
289	0.2025558763
290	0.202155459
291	0.2020988484
292	0.2016178508
293	0.2013700636
294	0.2011643516
295	0.2009815649
296	0.2002800526
297	0.2001967238
298	0.2000653875
299	0.1993928658
300	0.1992431827
301	0.1986278847
302	0.1984070601
303	0.1983036769
304	0.1977043021
305	0.1975271702
306	0.1973994228
307	0.1971213088
308	0.1968802572
309	0.1965553407
310	0.1964123847
311	0.1960558565
312	0.1959069021
313	0.195698289
314	0.1954788691
315	0.1953455355
316	0.194925917
317	0.1948400022
318	0.1946175865
319	0.1943173755
320	0.1941654003
321	0.194019415
322	0.1938938335
323	0.1937122261
324	0.1933948278
325	0.1932459194
326	0.1931560092
327	0.1930430838
328	0.1929766723
329	0.1929125313
330	0.1926809795
331	0.1924789687
332	0.1923078031
333	0.1912116385
334	0.1909050193
335	0.1906946346
336	0.1906314548
337	0.1901934853
338	0.1898906184
339	0.189830592
340	0.1894299653
341	0.1890154577
342	0.1886574869
343	0.1881256846
344	0.187969541
345	0.1876023514
346	0.1875164879
347	0.1873219728
348	0.1870253781
349	0.1869186625
350	0.186803825
351	0.1865830125
352	0.1864664961
353	0.1863820237
354	0.18617071
355	0.1859164634
356	0.1858528888
357	0.1856018952
358	0.1847869747
359	0.1845886384
360	0.1843890908
361	0.1842728951
362	0.1841399091
363	0.184027062
364	0.1838454888
365	0.1836643932
366	0.1826943189
367	0.1825266138
368	0.1821536198
369	0.1820641638
370	0.1817672604
371	0.1814032356
372	0.1813271127
373	0.1811761208
374	0.1810997198
375	0.180647788
376	0.1804668913
377	0.1803449204
378	0.1802722857
379	0.1801791641
